File Name,Total,Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
Programming-in-Haskell_compiler2.hs,148,148,100.0,0,0.0,0,0.0
Programming-in-Haskell_compiler.hs,155,155,100.0,0,0.0,0,0.0
Programming-in-Haskell_cipher.hs,405,405,100.0,0,0.0,0,0.0
Programming-in-Haskell_countdown2.hs,1183,1183,100.0,0,0.0,0,0.0
Programming-in-Haskell_primes.hs,46,46,100.0,0,0.0,0,0.0
Programming-in-Haskell_hangman.hs,137,136,99.27,1,0.73,0,0.0
Programming-in-Haskell_machine.hs,114,114,100.0,0,0.0,0,0.0
Programming-in-Haskell_nim.hs,328,328,100.0,0,0.0,0,0.0
Programming-in-Haskell_voting.hs,293,293,100.0,0,0.0,0,0.0
Programming-in-Haskell_tautology.hs,414,414,100.0,0,0.0,0,0.0
Programming-in-Haskell_tictactoe.hs,1141,1141,100.0,0,0.0,0,0.0
Programming-in-Haskell_relabel.hs,364,364,100.0,0,0.0,0,0.0
Programming-in-Haskell_expression.hs,114,114,100.0,0,0.0,0,0.0
Programming-in-Haskell_countdown.hs,1011,1011,100.0,0,0.0,0,0.0
Programming-in-Haskell_Parsing.hs,522,522,100.0,0,0.0,0,0.0
Programming-in-Haskell_transmit.hs,170,170,100.0,0,0.0,0,0.0
Programming-in-Haskell_calculator.hs,510,510,100.0,0,0.0,0,0.0
Programming-in-Haskell_life.hs,479,479,100.0,0,0.0,0,0.0
LPFP_VisDisplay.hs,26,26,100.0,0,0.0,0,0.0
LPFP_MakeTrajectoryGraph.hs,143,141,98.6,2,1.4,0,0.0
LPFP_Newton2.hs,1217,1216,99.92,1,0.08,0,0.0
LPFP_Electricity.hs,483,478,98.96,5,1.04,0,0.0
LPFP_hello.hs,143,141,98.6,2,1.4,0,0.0
LPFP_GlossBilliardAnimate.hs,31,31,100.0,0,0.0,0,0.0
LPFP_MultipleObjects.hs,978,977,99.9,1,0.1,0,0.0
LPFP_GlossSimulate.hs,136,136,100.0,0,0.0,0,0.0
LPFP_GlossProton.hs,28,28,100.0,0,0.0,0,0.0
LPFP_VisDisplay2.hs,74,74,100.0,0,0.0,0,0.0
LPFP_GlossBilliard.hs,37,37,100.0,0,0.0,0,0.0
LPFP_Maxwell.hs,2171,2171,100.0,0,0.0,0,0.0
LPFP_ProtonEB.hs,78,78,100.0,0,0.0,0,0.0
LPFP_GlossAnimate.hs,104,103,99.04,1,0.96,0,0.0
LPFP_VisDisplay3.hs,98,98,100.0,0,0.0,0,0.0
LPFP_GlossDisplay2.hs,91,91,100.0,0,0.0,0,0.0
LPFP_GlossProjectile.hs,135,135,100.0,0,0.0,0,0.0
LPFP_ElectricWave.hs,67,67,100.0,0,0.0,0,0.0
LPFP_MOExamples.hs,2119,2109,99.53,10,0.47,0,0.0
LPFP_GnuplotWave.hs,198,198,100.0,0,0.0,0,0.0
LPFP_Lists.hs,361,360,99.72,1,0.28,0,0.0
LPFP_Hydrogen.hs,127,127,100.0,0,0.0,0,0.0
LPFP_GlossDisplay.hs,77,77,100.0,0,0.0,0,0.0
LPFP_Mechanics3D.hs,2912,2909,99.9,3,0.1,0,0.0
LPFP_VisTwoSprings.hs,158,158,100.0,0,0.0,0,0.0
LPFP_Integrals.hs,1289,1289,100.0,0,0.0,0,0.0
LPFP_GlossSimulate2.hs,186,185,99.46,1,0.54,0,0.0
LPFP_Geometry.hs,814,814,100.0,0,0.0,0,0.0
LPFP_VisAnimate.hs,59,59,100.0,0,0.0,0,0.0
LPFP_Mech3Proton.hs,24,24,100.0,0,0.0,0,0.0
LPFP_Lorentz.hs,945,945,100.0,0,0.0,0,0.0
LPFP_SimpleVec.hs,1160,1160,100.0,0,0.0,0,0.0
LPFP_VisSimulate.hs,96,96,100.0,0,0.0,0,0.0
LPFP_GlossWave.hs,139,139,100.0,0,0.0,0,0.0
LPFP_CoordinateSystems.hs,1982,1975,99.65,7,0.35,0,0.0
LPFP_Mechanics1D.hs,1604,1598,99.63,6,0.37,0,0.0
LPFP_MagneticField.hs,768,768,100.0,0,0.0,0,0.0
LPFP_VisProjectile.hs,116,116,100.0,0,0.0,0,0.0
LPFP_ElectricField.hs,2366,2364,99.92,2,0.08,0,0.0
LPFP_Current.hs,594,591,99.49,3,0.51,0,0.0
LPFP_GlossHalley.hs,136,136,100.0,0,0.0,0,0.0
LPFP_PresentationPlotting.hs,625,624,99.84,1,0.16,0,0.0
LPFP_Charge.hs,744,744,100.0,0,0.0,0,0.0
LPFP_DescribingMotion.hs,362,362,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_test_Spec.hs,382,382,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_app_Main.hs,976,975,99.9,1,0.1,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_src_Composition_Notelength.hs,358,358,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_src_Composition_Note.hs,489,489,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_src_Composition_Pitch.hs,548,548,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_src_Composition_Performance.hs,607,607,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_src_Sound_Sound.hs,496,496,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_src_Sound_Sampler.hs,405,405,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_src_Sound_Synth.hs,703,702,99.86,1,0.14,0,0.0
learn-haskell-by-example-main_chapter10+11_synthask_src_Util_Types.hs,80,80,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter2_caesar_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter2_caesar_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter2_caesar_app_Main.hs,15,15,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter2_caesar_src_Lib.hs,311,311,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter2_caesar_src_Exercises.hs,367,367,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_app_Main.hs,294,292,99.32,2,0.68,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_src_Parser_Combinators.hs,197,197,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_src_Parser_Core.hs,602,602,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_src_Data_Vector_Strategies.hs,50,50,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_src_Graphics_PNM.hs,57,57,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_src_Graphics_PNM_Conversion.hs,750,750,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_src_Graphics_PNM_Types.hs,390,390,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_src_Graphics_PNM_Parsing.hs,957,957,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_src_Graphics_PNM_Validation.hs,611,611,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter12+13_pbmagick_src_Control_Monad_Extra.hs,109,109,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_app_Main.hs,453,453,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Csv.hs,47,47,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Data_Candy.hs,277,277,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Data_Sliceable.hs,266,266,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Util_Text.hs,165,165,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Util_Arguments.hs,340,340,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Csv_Operations.hs,220,220,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Csv_Print.hs,866,866,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Csv_Types.hs,608,608,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter7+8_csview_src_Csv_Parsing.hs,565,565,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_app_Main.hs,318,318,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_src_App.hs,27,27,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_src_System_FileType.hs,179,179,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_src_System_Directory_Safe.hs,307,307,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_src_App_Impl.hs,589,589,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter14+15_backup_src_App_Types.hs,410,410,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter3+4_lnums_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter3+4_lnums_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter3+4_lnums_app_Main.hs,275,275,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter3+4_lnums_src_Lib.hs,377,377,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter3+4_lnums_src_Exercises.hs,585,585,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_test_Spec.hs,86,86,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_test_SuiteOne.hs,44,44,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_test_SuiteTwo.hs,81,81,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Misc.hs,40,40,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Data_AssocMap.hs,895,895,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Test_SimpleCheck.hs,1290,1290,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Caesar_Caesar.hs,286,286,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Caesar_QuickCheckProperties.hs,142,142,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Caesar_SimpleCheckProperties.hs,177,176,99.44,1,0.56,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_app_Main.hs,93,93,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_src_Ladder.hs,297,295,99.33,2,0.67,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_src_PermutationMap.hs,258,258,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_src_Graph.hs,764,764,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_src_Data_AssocMap.hs,448,448,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_app_Main.hs,96,96,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_src_Ladder.hs,375,373,99.47,2,0.53,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_src_PermutationMap.hs,329,329,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_src_Graph.hs,1306,1306,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_src_Data_AssocMap.hs,448,448,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_app_Main.hs,93,93,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_src_Ladder.hs,297,295,99.33,2,0.67,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_src_PermutationMap.hs,293,293,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_src_Graph.hs,727,727,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_src_Exercises.hs,736,736,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_src_Data_AssocMap.hs,448,448,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_app_Client.hs,576,576,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_app_Server.hs,287,287,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_src_Todos_Types.hs,172,172,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_src_Todos_Api.hs,89,89,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_src_Todos_Handlers.hs,468,468,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_src_Todos_Database.hs,216,216,100.0,0,0.0,0,0.0
